,original,synonyms
0,ladies,female
1,ladies,girl
0,lances,bore
1,lances,cut
0,latices,acrylic
1,latices,color
0,lazybones,beachcomber
1,lazybones,deadbeat
0,leeches,barnacle
1,leeches,bloodsucker
0,lemmata,caption
1,lemmata,description
0,levers,crowbar
1,levers,leverage
0,linguistics,alphabet
1,linguistics,syntax
0,links,fairway
1,links,back nine
0,lodgings,apartment
1,lodgings,hostel
0,logistics,coordination
1,logistics,engineering
0,longways,diagonal
1,longways,angular
0,lots,oodles
1,lots,acres
0,macrocosmos,galaxy
1,macrocosmos,solar system
0,mains,central
1,mains,essential
0,manes,demon
1,manes,devil
0,manners,amenities
1,manners,bearing
0,marbles,acumen
1,marbles,balance
0,marginalia,comment
1,marginalia,commentary
0,mathematics,algebra
1,mathematics,calculation
0,matrices,cast
1,matrices,forge
0,mechanics,logistics
1,mechanics,mechanism
0,media,news
1,media,publishing
0,melodramatics,acting
1,melodramatics,dramatics
0,men,armed forces
1,men,army
0,mends,ameliorate
1,mends,cure
0,menses,catamenia
1,menses,menorrhea
0,metamorphoses,mutate
1,metamorphoses,transmute
0,metaphysics,attitude
1,metaphysics,doctrine
0,metempsychoses,comeback
1,metempsychoses,recovery
0,metrics,poem
1,metrics,poetry
0,miasmata,fetor
1,miasmata,fumes
0,mids,average
1,mids,center
0,millions,considerable
1,millions,countless
0,mines,field
1,mines,pit
0,misbegotten,baseborn
1,misbegotten,bastard
0,misogyny,sexism
1,misogyny,bias
0,mitre,administrator
1,mitre,cleric
0,mnemonics,fantasy
1,mnemonics,image
0,molasses,maple syrup
1,molasses,glucose
0,moneybags,banker
1,moneybags,entrepreneur
0,monopoly,cartel
1,monopoly,holding
0,moors,dock
1,moors,tether
0,morals,ethic
1,morals,integrity
0,mores,attitude
1,mores,codes
0,mornings,dawn
1,mornings,AM
0,muffin,bread
1,muffin,doughnut
0,munitions,ammo
1,munitions,armament
0,nautics,boating
1,nautics,exploration
0,needles,angst
1,needles,apprehension
0,nemeses,adversary
1,nemeses,affliction
0,nepenthes,anesthetic
1,nepenthes,dope
0,neuroses,inhibition
1,neuroses,aberration
0,newt,frog
1,newt,salamander
0,nightcaps,dessert wine
1,nightcaps,digestif
0,nights,every night
1,nights,at night
0,nineholes,eighteen holes
1,nineholes,medal play
0,ninepins,bowls
1,ninepins,candlepins
0,nippers,clippers
1,nippers,scissors
0,nitroglycerin,TNT
1,nitroglycerin,gelignite
0,nones,no one
1,nones,nobody
0,notify,advise
1,notify,alert
0,nowadays,current
1,nowadays,begun
0,nowheres,oblivion
1,nowheres,Siberia
0,nucleonics,atom smashing
1,nucleonics,atom-chipping
0,numbles,guts
1,numbles,insides
0,numen,ability
1,numen,accomplishment
0,nuptials,bridal
1,nuptials,espousal
0,nutmeg,cantaloupe
1,nutmeg,gourd
0,oases,fountain
1,oases,well
0,oddments,balance
1,oddments,debris
0,odds,difference
1,odds,allowance
0,oes,Anglian
1,oes,OE
0,oftentimes,again and again
1,oftentimes,generally
0,ofttimes,again and again
1,ofttimes,generally
0,omen,harbinger
1,omen,indication
0,onomasticon,reference book
1,onomasticon,glossary
0,ons,chase
1,ons,displace
0,onwards,alee
1,onwards,along
0,optics,perception
1,optics,seeing
0,outdoors,garden
1,outdoors,country
0,overalls,knickers
1,overalls,shorts
0,overclothes,Sunday best
1,overclothes,accouterment
0,overeaten,binge
1,overeaten,feast
0,pancreas,brains
1,pancreas,chitlins
0,pantaloons,knickers
1,pantaloons,shorts
0,panties,bikini
1,panties,briefs
0,pants,knickers
1,pants,shorts
0,paradisaic,adorable
1,paradisaic,alluring
0,pedagogics,apprenticeship
1,pedagogics,background
0,pelves,abdomen
1,pelves,gut
0,penetralia,belly
1,penetralia,core
0,people,community
1,people,crowd
0,personnel,cadre
1,personnel,crew
0,pes,PE
1,pes,athletics
0,phalanges,appendage
1,phalanges,fist
0,pharmaceutics,cure
1,pharmaceutics,medicine
0,phases,aspect
1,phases,chapter
0,phenomena,development
1,phenomena,experience
0,phonemics,accent
1,phonemics,diction
0,phonetics,accent
1,phonetics,diction
0,physics,biology
1,physics,chemistry
0,pickings,spoils
1,pickings,boodle
0,piles,gobs
1,piles,heaps
0,pincers,forceps
1,pincers,pliers
0,Pisces,Aquarius
1,Pisces,Aries
0,plastics,bank card
1,plastics,affinity card
0,plies,dispense
1,plies,employ
0,pliers,forceps
1,pliers,tongs
0,plumps,plop
1,plumps,drop
0,polemics,argumentation
1,polemics,contention
0,police,detective
1,police,force
0,politics,campaigning
1,politics,government
0,pontifices,pope
1,pontifices,bishop
0,posteriors,back
1,posteriors,behind
0,potatoes,yam
1,potatoes,murphy
0,pragmatics,parole
1,pragmatics,semantics
0,prefixed,add
1,prefixed,adhere
0,pricks,cut
1,pricks,gash
0,proceeds,income
1,proceeds,profit
0,props,backdrop
1,props,decor
0,prosthetics,breast implant
1,prosthetics,cosmetic surgery
0,psychics,channel
1,psychics,form
0,psychoses,craziness
1,psychoses,derangement
0,pyrotechnics,pyrotechny
1,pyrotechnics,rockets
0,pyxides,trunk
1,pyxides,bin
0,quarters,cabin
1,quarters,cottage
0,quits,depart
1,quits,drop
0,quoits,disc
1,quoits,plate
0,radices,essence
1,radices,foundation
0,radiodynamics,automation
1,radiodynamics,artificial intelligence
0,radionics,transmission
1,radionics,wireless
0,raspings,abrasion
1,raspings,attrition
0,rattles,bounce
1,rattles,jar
0,ravens,pillage
1,ravens,booty
0,reales,genuine
1,reales,legitimate
0,rearwards,backward
1,rearwards,backwards
0,reges,czar
1,reges,emperor
0,regimen,menu
1,regimen,procedure
0,regimentals,attire
1,regimentals,costume
0,reps,acceptability
1,reps,account
0,ribaldry,abomination
1,ribaldry,affront
0,roosters,hen
1,roosters,poultry
0,rubbers,abstinence
1,rubbers,condom
0,rumen,bolus
1,rumen,chew
0,sans,bare
1,sans,barren
0,sawbones,doctor
1,sawbones,specialist
0,scabies,dermatitis
1,scabies,eczema
0,scads,bags
1,scads,barrels
0,scales,dermatitis
1,scales,eczema
0,scatterbrains,clodpoll
1,scatterbrains,ass
