,original,synonyms
0,ding,beat
1,ding,clang
0,dining,chewing
1,dining,consumption
0,dipping,dive
1,dipping,plunge
0,disappearing,brief
1,disappearing,fading
0,disappointing,depressing
1,disappointing,disconcerting
0,disbelieving,questioning
1,disbelieving,aporetic
0,discerning,astute
1,discerning,insightful
0,discharging,draining
1,discharging,flooding
0,discomforting,uncomforting
1,discomforting,unpleasant
0,discomposing,alarming
1,discomposing,annoying
0,disconcerting,baffling
1,disconcerting,bewildering
0,discontenting,disappoint
1,discontenting,perturb
0,discording,chime
1,discording,clank
0,discouraging,bleak
1,discouraging,depressing
0,discriminating,astute
1,discriminating,choosy
0,disguising,camouflage
1,disguising,cloak
0,disgusting,abominable
1,disgusting,awful
0,disheartening,alarming
1,disheartening,astounding
0,disinteresting,alienate
1,disinteresting,bore
0,disliking,allergic
1,disliking,antagonistic
0,disobliging,awkward
1,disobliging,disagreeable
0,disparaging,defamatory
1,disparaging,derogatory
0,displeasing,annoying
1,displeasing,bad
0,disquieting,annoying
1,disquieting,bothersome
0,dissecting,analytic
1,dissecting,cogent
0,dissenting,grumbling
1,dissenting,protesting
0,dissolving,abandonment
1,dissolving,abolition
0,distilling,condense
1,distilling,extract
0,distinguishing,differentiating
1,distinguishing,characteristic
0,distressing,deplorable
1,distressing,dreadful
0,disturbing,alarming
1,disturbing,annoying
0,divaricating,contrast
1,divaricating,disagreement
0,diverging,deviating
1,diverging,diffusive
0,diverting,entertaining
1,diverting,distracting
0,dividing,detaching
1,dividing,detachment
0,diving,dip
1,diving,leap
0,divining,Delphian
1,divining,ambiguous
0,doddering,faltering
1,doddering,floundering
0,doing,accomplishment
1,doing,act
0,domineering,arrogant
1,domineering,autocratic
0,doting,adoring
1,doting,affectionate
0,dotting,dab
1,dotting,droplet
0,doubling,acceleration
1,doubling,advance
0,doubting,doubtful
1,doubting,dubious
0,downpouring,drench
1,downpouring,pour
0,downsliding,deterioration
1,downsliding,decrease
0,downswing,decrease
1,downswing,descent
0,drafting,computer graphics
1,drafting,draftsmanship
0,dragging,boring
1,dragging,dull
0,dratting,dang
1,dratting,doggone
0,drawing,cartoon
1,drawing,depiction
0,drawling,droning
1,drawling,dull
0,dredging,clean
1,dredging,widen
0,drenching,dive
1,drenching,plunge
0,dressing,filling
1,dressing,stuffing
0,dressmaking,Seventh Avenue
1,dressmaking,fashion design
0,drifting,adrift
1,drifting,
0,drilling,acerbic
1,drilling,biting
0,drinking,bashed
1,drinking,blitzed
0,dripping,disheveled
1,dripping,run down
0,driving,propulsive
1,driving,active
0,drooping,enervated
1,drooping,limp
0,dropping,downward
1,dropping,cascading
0,drubbing,beating
1,drubbing,rout
0,drumming,blast
1,drumming,buzz
0,drying,arid
1,drying,bare
0,dubbing,designate
1,dubbing,nickname
0,ducking,dive
1,ducking,plunge
0,dueling,chase away
1,dueling,confront
0,dumping,removal
1,dumping,discarding
0,dumpling,babe
1,dumpling,chick
0,dusting,beating
1,dusting,drubbing
0,dwarfling,gnome
1,dwarfling,goblin
0,dwelling,habitat
1,dwelling,residence
0,dying,decaying
1,dying,doomed
0,dynamiting,annihilate
1,dynamiting,decimate
0,earning,accepting
1,earning,acquiring
0,earring,bracelet
1,earring,brooch
